link,identifier,title,creator,dc_creator,publisher,date,issued,description,subject,price,extent,materialType,alternative,edition,volumeTitle,seriesTitle,volume,seriesCreator,publicationName
000007056362,"{'NDLBibID': ['000007056362'], 'KAKENHINO': ['09480121']}","[{'value': 'カドミウム環境汚染による健康障害の自然史に関する臨床疫学的研究', 'transcription': 'カドミウム カンキョウ オセン ニ ヨル ケンコウ ショウガイ ノ シゼンシ ニ カンスル リンショウエキガクテキ ケンキュウ'}]","[{'name': '加須屋, 實', 'transcription': 'カスヤ, ミノル'}]","[{'name': '加須屋實, 富山医科薬科大学'}]",,1997-1999,"1997, 1999",['文部省科学研究費補助金研究成果報告書'],"{'value': ['カドミウム', '環境汚染', 'イタイイタイ病', '尿細管障害', '骨量', '追跡調査', '性差'], 'NDLC': ['Y151']}",,['冊'],['図書'],[{'value': '研究種目 基盤研究(B)'}],,,,,,
000002452296,"{'JPNO': ['96014664'], 'NDLBibID': ['000002452296'], 'ISBN': ['4-526-03779-6']}","[{'value': '放射性物質の人体摂取障害の記録 : 過ちの歴史に何を学ぶか', 'transcription': 'ホウシャセイ ブッシツ ノ ジンタイ セッシュ ショウガイ ノ キロク'}]","[{'name': '松岡, 理, 1929-', 'transcription': 'マツオカ, オサム, 1929-'}]",[{'name': '松岡理 著'}],"[{'name': '日刊工業新聞社', 'location': '東京'}]",1995.10,1995,['各章末: 関連重要文献'],"{'NDLSH': ['放射線障害'], 'NDLC': ['SC781'], 'NDC8': ['493.19']}",1900円 (税込),['135p ; 21cm'],['図書'],,,,,,,
000002239630,"{'JPNO': ['93032702'], 'NDLBibID': ['000002239630'], 'ISBN': ['4-7599-0839-0']}","[{'value': 'イギリス障害児「義務教育」制度成立史研究', 'transcription': 'イギリス ショウガイジ ギム キョウイク セイド セイリツシ ケンキュウ'}]","[{'name': '山口, 洋史, 1940-', 'transcription': 'ヤマグチ, ヒロシ, 1940-'}]",[{'name': '山口洋史 著'}],"[{'name': '風間書房', 'location': '東京'}]",1993.2,1993,['文献一覧: p419～431'],"{'NDLSH': ['障害者教育--イギリス--歴史', '義務教育--イギリス--歴史'], 'NDLC': ['FG1'], 'NDC8': ['378.0233']}",18540円 (税込),['474p ; 22cm'],['図書'],,,,,,,
000002517324,"{'JPNO': ['97001885'], 'NDLBibID': ['000002517324'], 'ISBN': ['4-88209-014-7']}","[{'value': '知られざる声 : 障害者の歴史に光を灯した女性たち', 'transcription': 'シラレザル コエ'}]","[{'name': 'Smith, J. David, 1944-'}, {'name': '広瀬, 信雄, 1953-', 'transcription': 'ヒロセ, ノブオ, 1953-'}]","[{'name': 'デイヴィッド・スミス 著'}, {'name': '広瀬信雄 他訳'}]","[{'name': '湘南出版社', 'location': '藤沢'}]",1995.6,1995,"['監訳: 西村章次', '原タイトル: The other voices', '各章末: 文献']","{'NDLSH': ['障害者教育--歴史'], 'NDLC': ['FG1'], 'NDC9': ['378.02']}",1800円 (税込),['255p ; 21cm'],['図書'],[{'value': 'The other voices'}],,,,,,
000002333104,"{'JPNO': ['94054782'], 'NDLBibID': ['000002333104'], 'ISBN': ['4-8058-1245-1']}","[{'value': '身体障害者・高齢者と自動車運転 : その歴史的経緯と現状', 'transcription': 'シンタイ ショウガイシャ コウレイシャ ト ジドウシャ ウンテン'}]","[{'name': '国立身体障害者リハビリテーションセンター', 'transcription': 'コクリツ シンタイ ショウガイシャ リハビリテーション センター'}]",,"[{'name': '中央法規出版', 'location': '東京'}]",1994.5,1994,['監修: 国立身体障害者リハビリテーションセンター'],"{'NDLSH': ['身体障害者', '高齢者', '自動車--運転'], 'NDLC': ['EG61', 'EG51'], 'NDC8': ['369.27']}",3900円 (税込),['358p ; 26cm'],"['図書', '政府刊行物', '官公庁刊行物']",,,,,,,
000002722540,"{'JPNO': ['99046918'], 'NDLBibID': ['000002722540'], 'ISBN': ['4-88134-183-9']}","[{'value': '全障研三十年史 : 障害者の権利を守り、発達を保障するために', 'transcription': 'ゼンショウケン サンジュウネンシ : ショウガイシャ ノ ケンリ オ マモリ ハッタツ オ ホショウスル タメニ'}]","[{'name': '全国障害者問題研究会', 'transcription': 'ゼンコク ショウガイシャ モンダイ ケンキュウカイ'}]",[{'name': '全国障害者問題研究会 編'}],"[{'name': '全国障害者問題研究会出版部', 'location': '東京'}]",1997.11,1997,,"{'NDLSH': ['全国障害者問題研究会'], 'NDLC': ['F4', 'FG1'], 'NDC9': ['378.06']}",,['813p ; 22cm'],['図書'],,,,,,,
000002288774,"{'JPNO': ['94010451'], 'NDLBibID': ['000002288774'], 'ISBN': ['4-89678-018-3']}","[{'value': '日本盲人史考 : 視力障害者の歴史と伝承 金属と片眼神', 'transcription': 'ニホン モウジンシ コウ'}]","[{'name': '森, 納, 1928-', 'transcription': 'モリ, オサム, 1928-'}]",[{'name': '森納 著'}],"[{'name': '米子今井書店', 'location': '米子'}]",1993.12,1993,"['編集: 富士書店出版企画室', '各章末: 参考資料']","{'NDLSH': ['視覚障害者--歴史'], 'NDLC': ['GB79'], 'NDC8': ['210.1']}",4500円 (税込),"['629, 21p ; 22cm']",['図書'],,,,,,,
000002406237,"{'JPNO': ['95051858'], 'NDLBibID': ['000002406237'], 'ISBN': ['4-7684-3390-1']}","[{'value': 'スウェーデンの障害児教育改革 : 特別指導の歴史と現状', 'transcription': 'スウェーデン ノ ショウガイジ キョウイク カイカク'}]","[{'name': 'Ahlström, Karl-Georg'}, {'name': '二文字, 理明, 1946-', 'transcription': 'ニモンジ, マサアキ, 1946-'}]","[{'name': 'カール・G.アールストレーム 他著'}, {'name': '二文字理明 訳編'}]","[{'name': '現代書館', 'location': '東京'}]",1995.3,1995,"['原タイトル: Skolans krav-elevernas behov', '参考文献: p250～257']","{'NDLSH': ['障害者教育--スウェーデン'], 'NDLC': ['FG1'], 'NDC8': ['378']}",4000円 (税込),['267p ; 22cm'],['図書'],[{'value': 'Skolans krav-elevernas behov'}],,,,,,
000002023905,"{'JPNO': ['90017852'], 'NDLBibID': ['000002023905']}","[{'value': '視覚障害者(児)の教育・職業・福祉 : その歴史と現状', 'transcription': 'シカク ショウガイシャ ジ ノ キョウイク ショクギョウ フクシ'}]","[{'name': '日本盲人福祉研究会', 'transcription': 'ニホン モウジン フクシ ケンキュウカイ'}]",[{'name': '「視覚障害者 (児) の教育・職業・福祉」編集委員会 編'}],"[{'name': '日本盲人福祉研究会', 'location': '東京'}]",1989.3,1989,['付: 年表'],"{'NDLSH': ['視覚障害者'], 'NDLC': ['EG61'], 'NDC8': ['369.27']}",2000円 (税込),['156p ; 26cm'],['図書'],,,,,,,
000002047275,"{'JPNO': ['90041222'], 'NDLBibID': ['000002047275']}","[{'value': 'ドイツ障害児教育史研究 : 補助学校教育の確立と変容', 'transcription': 'ドイツ ショウガイジ キョウイクシ ケンキュウ'}]","[{'name': '荒川, 智, 1957-', 'transcription': 'アラカワ, サトシ, 1957-'}]",[{'name': '荒川智 著'}],"[{'name': '亜紀書房', 'location': '東京'}]",1990.2,1990,['主要参考文献: p319～324'],"{'NDLSH': ['障害者教育--ドイツ--歴史'], 'NDLC': ['FG1'], 'NDC8': ['378']}",8750円 (税込),"['346, 9p ; 22cm']",['図書'],,,,,,,
