title,creator,extent,issued,material_type
教育法の現代的争点,日本教育法学会,['395p ; 21cm'],2014,['図書']
社会法の基本理念と法政策 : 社会保障法・労働法の現代的展開,"山田, 晋, 1958-",['346p ; 22cm'],2011,['図書']
ドイツ社会法の構造と展開 : 理論、方法、実践,"Zacher, Hans Friedrich, 1928-",['340p ; 22cm'],2005,['図書']
明日をひらく図書館 : 長野の実践と挑戦,"宮下, 明彦, 1946-",['201p ; 21cm'],2013,['図書']
訪日学術研究者論文集,日韓文化交流基金,['609p ; 26cm'],2013,['図書']
稀で特異な精神症候群ないし状態像,"中安, 信夫, 1949-",['240p ; 26cm'],2004,['図書']
音楽教育学の未来 : 日本音楽教育学会設立40周年記念論文集,日本音楽教育学会,['407p ; 21cm'],2009,['図書']
松沢臨床精神医学セミナー,"松下, 正明, 1937-",['276p ; 21cm'],2008,['図書']
部落差別・人権論,同和文献保存会,['613p ; 31cm'],2007,['図書']
日本社会と市民法学 : 清水誠先生追悼論集,"広渡, 清吾, 1945-",['806p ; 22cm'],2013,['図書']
TVアニメーションらんま1/2 : ニューテレシネHDマスター版,,['ビデオディスク 9枚 (1261分) : Blu-ray Disc'],2013,"['映像資料', 'Blu-ray Disc']"
KSブックレット,,['21cm'],2000,['図書']
共生と希望の教育学,"岡本, 智周, 1971-",['357p ; 21cm'],2011,['図書']
教育人間学の展開,"平野, 正久, 1939-",['374p ; 22cm'],2009,['図書']
この国の芸術 : 〈日本美術史〉を脱帝国主義化する,"小田原, のどか, 1985-",['851p ; 19cm'],2023,['図書']
몸에 새긴 역사의 기억 : 4・3 후유장애자 생애사 아카이브전,"김, 동만",['23cm'],2004,['図書']
中世の身分制と非人,"細川, 涼一, 1955-",['294p ; 21cm'],2004,['図書']
明日へ翔ぶ : 人文社会学の新視点,松尾金藏記念奨学基金,['407p ; 22cm'],2008,['図書']
憲法と現実政治,日本科学者会議,['367p ; 21cm'],2010,['図書']
「人間の尊厳と共生」の教育研究,日本教育学会,['93p ; 30cm'],2002,['図書']
心理学ワールド : 50号刊行記念出版,日本心理学会,['319p ; 22cm'],2011,['図書']
日本国憲法解釈の再検討,"高見, 勝利, 1945-",['442p ; 22cm'],2004,['図書']
小松ゼミ報告書,松山大学経済学部,['195p ; 30cm'],2004,['図書']
経済発展と社会政策 : 東アジアにおける差異と共通性,社会政策学会,['265p ; 21cm'],2007,['図書']
東アジア共同体を考える : ヨーロッパに学ぶ地域統合の可能性,"山下, 英次, 1947-",['495p ; 22cm'],2010,['図書']
現代スポーツのパースペクティブ,"菊, 幸一, 1957-",['367p ; 19cm'],2006,['図書']
戦後音楽教育60年,音楽教育史学会,['349p ; 21cm'],2006,['図書']
新編日本のフェミニズム,"天野, 正子, 1938-2015",['333p ; 19cm'],2009,['図書']
サラリーマンneo,,['ビデオディスク 1枚 (139分) : DVD + 1冊'],2009,"['映像資料', 'DVD']"
セルフ・アイデンティティ : 拡散する男性像,"榎本, 博明, 1955-",['280p ; 21cm'],2007,['図書']
社会学が拓く人間科学の地平 : 人間を考える学問のかたち,"浜口, 晴彦, 1933-",['250p ; 22cm'],2005,['図書']
昭和30年代半ばから同40年代半ばまでの肢体不自由体育について,"北野, 与一",['26cm'],1991,['図書']
医療福祉抑制の時代マイナス診療報酬下の経営戦略,"開原, 成允, 1937-2011",['344p ; 21cm'],2006,['図書']
西本鶏介児童文学論コレクション,"西本, 鶏介, 1934-","['472,18p ; 22cm']",2012,['図書']
英語教育学研究 : 金田道和先生退官記念論文集,"金田, 道和, 1939-",['265p ; 22cm'],2004,['図書']
昭和40年代半ばから同60年代半ばまでの肢体不自由体育について,"北野, 与一",['26cm'],1990,['図書']
東京外国語大学南アジア研究リサーチペーパー,,['30cm'],2016,['図書']
『世界』憲法論文選 : 1946-2005,"井上, ひさし, 1934-2010",['540p ; 21cm'],2006,['図書']
心の解明に向けての統合的方法論構築 : 21世紀COEプログラム : 平成18年度成果報告書,慶應義塾大学21世紀COE人文科学研究拠点心の統合的研究センター,['303p ; 30cm'],2007,['図書']
近代日本の政治と社会,"三上, 昭美, 1931-",['530p ; 22cm'],2001,['図書']
訪日学術研究者論文集 : アカデミック,日韓文化交流基金,['547p ; 27cm'],2000,['図書']
昭和20年までの東京市立光明学校における肢体不自由児体育について,"北野, 与一",['26cm'],1988,['図書']
マンダラの諸相と文化 : 頼富本宏博士還暦記念論文集,"頼富, 本宏, 1945-2015",['847p ; 22cm'],2005,['図書']
ヒューマンサービスリサーチ : オープンリサーチセンター整備事業「臨床人間科学の構築」,立命館大学人間科学研究所,['21cm'],2006,['図書']
心の解明に向けての統合的方法論構築 : 21世紀COEプログラム : 平成16年度成果報告書,慶應義塾大学21世紀COE人文科学研究拠点心の統合的研究センター,['288p ; 30cm'],2005,['図書']
新世紀スポーツ文化論,"近藤, 英男, 1913-",['438p ; 22cm'],2000,['図書']
心の解明に向けての統合的方法論構築 : 慶應義塾大学21世紀COEプログラム : 平成15年度成果報告書,慶應義塾大学21世紀COE人文科学研究拠点心の統合的研究センター,['172p ; 30cm'],2004,['図書']
世界教育史大系,世界教育史研究会,['22cm'],1974,['図書']
調査と人権,"広田, 伊蘇夫, 1935-",['305p ; 20cm'],1987,['図書']
歩んだ跡 : 豊嶋英明教授退職記念研究業績集,"豊嶋, 英明",['786p ; 30cm'],2007,"['図書', '政府刊行物', '官公庁刊行物']"
日・韓次世代学術フォーラム第2回国際学術大会 : 日・韓友情年2005記念事業 : proceeding : 東アジアにおける人文社会研究の新動向,韓日次世代学術フォーラム,['394p ; 30cm'],2005,['図書']
音楽教育の研究 : 理論と実践の統一をめざして,"浜野, 政雄, 1914-",['605p ; 22cm'],1999,['図書']
文化財論叢,奈良文化財研究所,['750p ; 27cm'],2002,"['図書', '政府刊行物', '官公庁刊行物']"
児童相談所と児童福祉 : 福祉労働と福祉実践 : 鈴木政夫遺稿集,"鈴木, 政夫, 1927-1997",['708p ; 22cm'],2002,['図書']
創立三十周年記念論文集,流通経済大学,['357p ; 22cm'],1996,['図書']
イースト新書,,['18cm'],2013,['図書']
インクルーシブ社会研究 = Studies for inclusive society,,['21cm'],2014,['図書']
実存思想論集,実存思想協会,"['196, 6p ; 22cm']",1992,['図書']
アジアの差別問題,"西, 順蔵, 1914-1984",['425p ; 20cm'],1993,['図書']
NHK文化講演会,日本放送協会,['237p ; 21cm'],1988,['図書']
現代社会政策のフロンティア,,['22cm'],2011,['図書']
彦根市埋蔵文化財調査報告,彦根市教育委員会,['26-30cm'],1981,['図書']
分裂病の精神病理,"土居, 健郎, 1920-2009",['308p ; 22cm'],1987,['図書']
21世紀の民法 : 小野幸二教授還暦記念論集,"小野, 幸二, 1936-",['970p ; 22cm'],1996,['図書']
教師と教員養成,"荒川, 勇",['25cm'],1981,['図書']
現代家族法の諸相 : 高野竹三郎先生古稀記念,"高野, 竹三郎, 1922-1997",['543p ; 22cm'],1993,['図書']
アジアの差別問題,"西, 順蔵, 1914-1984",['338p ; 20cm'],1986,['図書']
ポプラ新書,,['18cm'],2013,['図書']
財団法人静岡県埋蔵文化財調査研究所設立10周年記念論文集,静岡県埋蔵文化財調査研究所,['630p ; 27cm'],1995,['図書']
杉山善朗教授退職記念論文集,"杉山, 善朗, 1930-","['12, 223p ; 27cm']",1996,['図書']
「新通史」日本の科学技術 : 世紀転換期の社会史 : 1995年～2011年,"吉岡, 斉, 1953- 2018",['642p ; 22cm'],2011,['図書']
ExLibris,,,2009,['図書']
校内暴力問題講演集,国立教育研究所,['279p ; 21cm'],1984,"['図書', '政府刊行物', '官公庁刊行物']"
プリミエ・コレクション,,['22cm'],2011,['図書']
人権ブックレット,和歌山県部落解放・人権研究所,['21cm'],2002,['図書']
佛教大学研究叢書,,,2007,['図書']
聖徳大学短期大学部創立30周年記念論文集,聖徳大学川並記念図書館,['698p ; 22cm'],1995,['図書']
幻冬舎ルネッサンス新書,,['18cm'],2009,['図書']
保険法の現代的課題 : 三宅一夫先生追悼論文集,"三宅, 一夫, 1904-1990",['631p ; 22cm'],1993,['図書']
言語探究の領域 : 小泉保博士古稀記念論文集,"小泉, 保, 1926-2009",['556p ; 22cm'],1996,['図書']
現代社会福祉の基本視角,"一番ケ瀬, 康子, 1927-2012",['383p ; 22cm'],1989,['図書']
現代教育行政学研究,"上原, 貞雄, 1930-1999","['333, 13p ; 22cm']",1994,['図書']
英米法論集,"藤倉, 皓一郎, 1934-",['588p ; 22cm'],1987,['図書']
早稲田教育ブックレット,,,2006,['図書']
JLA図書館実践シリーズ,日本図書館協会,['19cm'],2004,['図書']
日本の生活問題と社会福祉,"藤本, 武, 1912-2002",['410p ; 22cm'],1981,['図書']
「新通史」日本の科学技術 : 世紀転換期の社会史 : 1995年～2011年,"吉岡, 斉, 1953- 2018",['662p ; 22cm'],2011,['図書']
学校教育法中の特殊教育関係規定について,"荒川, 勇",['25cm'],1979,['図書']
社会福祉の現代的展開 : 高度成長期から低成長期へ,日本社会事業大学,['362p ; 22cm'],1986,['図書']
サピエンティア,,,2008,['図書']
東京教育大学特殊教育科創設の経緯について,"荒川, 勇",['25cm'],1978,['図書']
MINERVA社会福祉叢書,,['22cm'],1995,['図書']
幻冬舎新書,,['18cm'],2006,['図書']
法と政治の理論と現実 : 関西大学法学部百周年記念論文集,関西大学,['531p ; 22cm'],1987,['図書']
ディスカヴァー携書,,,2007,['図書']
放送大学大学院教材,,,2002,['図書']
京都府立大学地域貢献型特別研究(ACTR)研究成果報告書,京都府立大学地域連携センター,['30cm'],2005,['図書']
フロイト著作集,"Freud, Sigmund, 1856-1939",['419p ; 22cm'],1984,['図書']
臨床的知の探究 : 河合隼雄教授還暦記念論文集,"河合, 隼雄, 1928-2007","['297, 3p ; 22cm']",1988,['図書']
Parade books,,['19-21cm'],2005,['図書']
分裂病の生活臨床,"台, 弘, 1913-2014",['407p ; 26cm'],1987,['図書']
学術叢書,,,2003,['図書']
青春新書intelligence,,['18cm'],2005,['図書']
扶桑社新書,,['18cm'],2007,['図書']
教職科学講座,,,1989,['図書']
児童心理学の進歩,日本児童研究所,['327p ; 22cm'],1981,['図書']
朝日新書,,,2006,['図書']
創成社新書,,['18cm'],2005,['図書']
日本の教師,"稲垣, 忠彦",['21cm'],1993,['図書']
ちくまプリマー新書,,['18cm'],2005,['図書']
生涯学習ブックレット,,['21cm'],1999,['図書']
対米協助成シリーズ,,['21cm'],2000,['図書']
真宗教学の諸問題 : 佐藤三千雄教授還暦記念,"佐藤, 三千雄, 1922-2012","['405, 43p ; 22cm']",1983,['図書']
早稲田教育叢書,,['19cm'],1997,['図書']
現代日本の公害と社会福祉,桃山学院大学,['286p ; 19cm'],1975,['図書']
沖縄久米島の総合的研究,法政大学,['568p ; 27cm'],1984,['図書']
明石ライブラリー,,['20cm'],1997,['図書']
新潮新書,,['18cm'],2003,['図書']
主婦の友ベストbooks,,['21cm'],2003,['図書']
光文社新書,,['18cm'],2001,['図書']
創立25周年記念論文集 : 社会福祉をめぐって,東北福祉大学,['507p ; 22cm'],1984,['図書']
K.G.りぶれっと,,['21cm'],2000,['図書']
Minerva text library,,,1997,['図書']
公衆衛生看護双書,"橋本, 正己, 1917-",['199p ; 22cm'],1970,['図書']
札幌学院大学選書,,['22cm'],1989,['図書']
How-nual図解入門,,['21cm'],2001,['図書']
中公新書ラクレ,,,2001,['図書']
ベスト新書,,['18cm'],2001,['図書']
現代教育心理学の諸問題 : 塚田毅教授退官記念論文集,"塚田, 毅, 1910-",['265p ; 22cm'],1973,['図書']
刑事政策講座,"宮沢, 浩一, 1930-2010",['356p ; 21cm'],1972,['図書']
岩波現代文庫,,['15cm'],2000,['図書']
社会保障法を学ぶ : 制度と運用の問題点,"小川, 政亮, 1920-2017","['345, 8p ; 19cm']",1974,['図書']
宝島社新書,,['18cm'],1999,['図書']
平凡社新書,,['18cm'],1999,['図書']
辛亥煩言,日本大学法学会,['201p ; 21cm'],1971,['図書']
集英社新書,,['18cm'],1999,['図書']
臨床描画研究,家族画研究会,['21cm'],1986,['図書']
文春新書,,['18cm'],1998,['図書']
能力開発レポート,全日本能率連盟人間能力開発センター,['18冊 ; 21cm'],"1975, 1977",['図書']
問題別教育相談講座,田中教育研究所,['5冊 ; 22cm'],1969,['図書']
PHP新書,,['18cm'],1996,['図書']
有斐閣アルマ,,['19cm'],1995,['図書']
千葉大学社会文化科学研究科研究プロジェクト報告書,千葉大学大学院社会文化科学研究科,['30cm'],1997,['図書']
研究報告書,埼玉県立教育センター,['20冊 (合本1冊) ; 26cm'],"1974, 1975","['図書', '政府刊行物', '地方公共団体刊行物']"
児童福祉 : 日本の現状と問題点,"菅, 支那, 1899-1982",['447p 肖像 ; 22cm'],1971,['図書']
現代日本の児童福祉,"木村, 武夫, 1910-1986",['292p ; 22cm'],1970,['図書']
ちくま新書,,['18cm'],1994,['図書']
社会福祉労働論,福祉問題研究編集委員会,['380p ; 20cm'],1974,['図書']
Senri ethnological reports,,['26cm'],1994,['図書']
世界人権問題叢書,,['20cm'],1991,['図書']
講談社選書メチエ,,['19cm'],1994,['図書']
教育権保障の理論と実態,日本教育法学会,['216p ; 22cm'],1972,['図書']
地方自治ジャーナルブックレット,,['21cm'],1992,['図書']
ふくろうの本,,['22cm'],1993,['図書']
子どもと教育を考える,,['19cm'],1983,['図書']
GEMCOビデオプログラム,,['19cm'],1991,"['映像資料', 'ビデオテープ']"
中学校・研究実践シリーズ,,['25冊 ; 22cm'],"1972, 1973",['図書']
CLAIR report,自治体国際化協会,['30cm'],1989,['図書']
資料シリーズ,日本労働研究機構,['26cm'],1990,['図書']
放送大学ビデオ教材,放送大学学園,,1989,"['映像資料', 'ビデオテープ']"
現代心理学論集 : 安倍三郎先生古稀記念論文集,"安倍, 三郎, 1898-1974",['418p 図版 ; 22cm'],1968,['図書']
眼病の診断と治療,"宇山, 安夫, 1895-1981",['426p (原色図版共) ; 27cm'],1962,['図書']
眼病の診断と治療,"宇山, 安夫, 1895-1981",['351p ; 26cm'],1962,['図書']
NHKスペシャル,,,1989,['図書']
研究叢書,中央大学人文科学研究所,['22cm'],1986,['図書']
科学研究費補助金(国際学術研究)研究成果報告書,,,1989,['図書']
中学校教育実践選書,,,1983,['図書']
アジアにおけるキリスト教,"Fox, Harry Robert",['201p ; 19cm'],1955,['図書']
ちくま文庫,,['15cm'],1985,['図書']
耳鼻咽喉科最近の進歩,"堀口, 申作, 1908-1997",['654p ; 22cm'],1968,['図書']
知恵の森文庫,,,1984,['図書']
講座社会保障,"丸山, 博, 1909-1996",['345p ; 22cm'],1959,['図書']
研究双書,アジア経済研究所,['21-27cm'],1980,['図書']
ニュートン別冊,,,1982,['図書']
音声の研究,日本音声学会,['2冊 ; 22cm'],"1966, 1967",['図書']
中学校・研究実践シリーズ,,['22cm'],1973,['図書']
岩波ブックレット,岩波書店,,1982,['図書']
岩波ジュニア新書,,['18cm'],1979,['図書']
日本比較法研究所研究叢書,日本比較法研究所,['22cm'],1977,['図書']
朝日文庫,,['15cm'],1977,['図書']
朝日選書,,['19cm'],1974,['図書']
文春文庫,,['16cm'],1974,['図書']
講談社文庫,,,1970,['図書']
日本労働法学会誌,日本労働法学会,['21cm'],1965,['図書']
新潮選書,,['20cm'],1967,['図書']
講談社現代新書,,['18cm'],1964,['図書']
NHKブックス,,['19cm'],1964,['図書']
ブルーバックス,,['17-18cm'],1963,['図書']
中公新書,,['18cm'],1962,['図書']
心理学講座,日本応用心理学会,,1953,['図書']
文庫クセジュ,,,1951,['図書']
野間教育研究所紀要,,['22cm'],1947,['図書']
新潮文庫,,['16cm'],1914,['図書']
障害史研究,,,,"['オンライン資料', 'オンラインジャーナル', '雑誌']"
東京専門学校文学科第二回第三年級講義録参考課目,東京専門学校,['1冊 ; 21cm'],,"['図書', 'マイクロ資料']"
地域障害児教育史研究,,,,['図書']
戦後障害児教育史資料,戦後障害児教育史研究会,,,['図書']
障害児教育史の研究,,['25cm'],,['図書']
障害者権利運動の歴史と動向,,['30 cm'],,['図書']
福祉労働 : 障害者・保育・教育の総合誌,,,,['図書']
天理教視力障害者布教連盟２０年史略年譜,天理教視力障害者布教連盟,['1巻'],,"['図書', '点字']"
日本における心身障害者体育の史的研究,,,,['図書']
日本における心身障害者体育の史的研究,北野 与一,['p103〜127 ; 26cm'],,['図書']
日本における心身障害者体育の史的研究,北野 与一,['21p ; 26cm'],,['図書']
戦後障害児教育史研究 : その思潮・制度・方法の総合的通史研究,,['25cm'],,['図書']
（申込後に件名目録作成）,（未整理）,,,['図書']
（申込後に件名目録作成）,（未整理）,,,['図書']
障害児教育体制に関する社会学的探求 : 盲学校教育をめぐる歴史過程と実践の論理,"佐藤, 貴宣",,,['博士論文']
第六分科会報告書 : 社会科教育に於ける地域社会の障害と歴史教育 : 第3回全国教育研究大会,千葉県教職員組合,['25cm'],,['図書']
白杖・黒メガネから音声パソコンへ　戦後盲人関係史秘話,柴田　優子,['1巻'],,"['図書', '録音図書（カセットテープ）']"
少年行刑の歴史からみる知的障害者福祉の萌芽－浦和監獄川越分監における処遇に着目して,"末松, 惠",,,['博士論文']
全国情緒障害教育研究会からみた自閉症教育のあゆみと今後の展望,全国情緒障害教育研究会,,,['図書']
精神薄弱問題史研究紀要,精神薄弱問題史研究会,['26cm'],,['図書']
スポーツ歴史の検証,,,,['図書']
戦後における神奈川県内精神薄弱特殊学級の変遷,"榎田, 洋一",['25cm'],,['図書']
ノーマライゼーション・ライブラリー,,,,['図書']
広島社会福祉資料,,,,['図書']
KSK,,,,['図書']
教育普及部門研究報告,,['26cm'],,['図書']
ゆたか福祉会年報,,,,['図書']
安田精神保健講座,,['cm'],,['図書']
同時代ノンフィクション選集,"柳田, 邦男",['20cm'],,['図書']
生存学研究センター報告,,['21cm'],,['図書']
小学館版学習まんがスペシャル,,['23cm'],,['図書']
四国学院研究叢書,,,,['図書']
佛教大学社会福祉学叢書,,,,['図書']
小川政亮著作集,"小川, 政亮",,,['図書']
東京都教育委員会印刷物登録,,,,['図書']
社会福祉選書,,,,['図書']
立社館資料,東京都立川社会教育会館,,,['図書']
SQ選書,,,,['図書']
青木教育叢書,,,,['図書']
熊本学園大学付属社会福祉研究所社会福祉叢書,,,,['図書']
精神科医からのメッセージ,,,,['図書']
Aoki教育library,,['20cm'],,['図書']
清風堂オリジナルブックレット,,,,['図書']
JETDA personal publications,,,,['図書']
文部省科学研究費補助金一般研究(B)研究成果中間報告書,,,,['図書']
MINERVA教職講座,,['21cm'],,['図書']
現代教育実践文庫,,,,['図書']
広島女子大学地域研究叢書,,,,['図書']
愛知学泉大学生活文化研究所研究報告,,,,['図書']
神戸地区県立学校白書,神戸地区県立学校同和教育研究協議会,,,['図書']
労働科学叢書,労働科学研究所,['22cm'],,['図書']
科学研究費補助金重点領域研究研究成果報告書,,,,['図書']
人権啓発指導者養成研修会の講演から,,,,['図書']
明石ブックレット,,,,['図書']
日本眼科全書,日本眼科学会,,,['図書']
研究報告書,子どもの虹情報研修センター,,,['図書']
新潟大学放送公開講座,,,,['図書']
岐阜大学地域科学部・地域学実習報告書,,,,['図書']
岐阜経済大学研究叢書,,['22cm'],,['図書']
ブックレット・シリーズ,,['21cm'],,['図書']
現代自治選書,,['19-21cm'],,['図書']
シリーズ大学生の学びをつくる,,,,['図書']
たいまつ新書,,,,['図書']
報告,京都市立永松記念教育センター,,,['図書']
ムジカノーヴァ叢書,,,,['図書']
大活字文庫,,,,['図書']
クリティーク叢書,,,,['図書']
SB新書,,['26cm'],,['図書']
科学研究費補助金(基盤研究(C))成果報告資料,,['26-30cm'],,['図書']
研究紀要,福岡県教育センター,,,['図書']
佛教大学総合研究所紀要,佛教大学総合研究所,['26cm'],,['図書']
ラジオ大学講座,,,,['図書']
セレクトbooks,,['21cm'],,['図書']
現代心理学ブックス,,,,['図書']
共同研究報告書,日本社会事業大学社会事業研究所,,,['図書']
プロブレムQ&A,,['21cm'],,['図書']
伝記世界を変えた人々,,['22cm'],,['図書']
社会新報ブックレット,,,,['図書']
Maruzen audiovisual library,,['12cm'],,"['映像資料', 'ビデオテープ']"
Shinpu books,,,,['図書']
ジュリスト増刊総合特集,,,,['図書']
学芸員研修会報告書,,,,['図書']
社会政策 : 社会政策学会誌 = Social policy and labor studies,,['26cm'],,['図書']
科学研究費補助金基盤研究(B)展開(2)研究成果報告書,,['30cm'],,['図書']
SB新書,,,,['図書']
海外技術資料調査集,材料技術資料センター,,,['図書']
指導資料,船橋市教育研究所,,,['図書']
Selected scientific & technical report,,,,['図書']
山梨県立大学地域研究交流センター研究報告書,,,,['図書']
科学研究費補助金(基盤研究(C)企画(1))研究成果報告書,,,,['図書']
Bamboo essay selection,,,,['図書']
明治大学人文科学研究所叢書,,,,['図書']
Monad books,,['19cm'],,['図書']
早稲田大学比較法研究所叢書,早稲田大学比較法研究所,,,['図書']
関西大学法学研究所研究叢書,関西大学法学研究所,,,['図書']
ワーキング・ペーパー,法政大学大原社会問題研究所,,,['図書']
Minerva福祉ライブラリー,,['21cm'],,['図書']
アポロンビデオライブラリー,,,,"['映像資料', 'ビデオテープ']"
テレビ大学講座,,,,['図書']
現代のエスプリ,,,,['図書']
人権ブックレット,,,,['図書']
新日本新書,,,,['図書']
放送大学教材,,,,['図書']
文部省科学研究費補助金(総合研究A)研究成果報告書,,['26cm'],,['図書']
科学研究費補助金(一般研究C萌芽)研究成果報告書,,,,['図書']
For beginners シリーズ,,['21cm'],,['図書']
楽しいクラスづくりフレッシュ文庫,,,,['図書']
PHPこころのノンフィクション,,,,['図書']
日本学術振興会科学研究費補助金基盤研究C研究成果報告書,,,,['図書']
科学研究費補助金(基盤研究(C)(2))成果報告資料,,['26-30cm'],,['図書']
トヨタ財団助成研究報告書,,,,['図書']
科学研究費補助金基盤研究(C)(2)研究成果報告書,,,,['図書']
科学研究費補助金(若手研究(B))研究成果報告書,,,,['図書']
週刊朝日ムック,,,,['図書']
科学研究費補助金(基盤研究C)研究成果報告書,,,,['図書']
科学研究費補助金(基盤研究(C)(1))研究成果報告書,,,,['図書']
科学研究費補助金(基礎研究(C)(2))研究成果報告書,,,,['図書']
調査と資料,名古屋大学経済学部附属経済構造分析資料センター,,,['図書']
ブックレット新潟大学,新潟大学大学院現代社会文化研究科ブックレット新潟大学編集委員会,,,['図書']
グリーン・アロー・ブックス,,['19cm'],,['図書']
ジュリスト,,,,['図書']
OMUPブックレット,,['21cm'],,['図書']
研究報告,大阪市教育研究所,,,['図書']
有斐閣双書,,,,['図書']
調査と情報,国立国会図書館調査及び立法考査局,['30cm'],,['図書']
紀伊國屋新書,,,,['図書']
慶應義塾大学法学研究会叢書,慶應義塾大学法学研究会,['22cm'],,['図書']
ジュリスト. 増刊,,,,['図書']
科学研究費補助金(一般研究(B))研究成果報告書,,,,['図書']
MF comic essay,,,,['図書']
ちくまプリマーブックス,,,,['図書']
学研新書,,,,['図書']
ジェイ・ガイド,,,,['図書']
科学研究費補助金(基盤研究A)研究成果報告書,,,,['図書']
講談社+α新書,,['18cm'],,['図書']
科学研究費補助金(一般研究C)研究成果報告書,,,,['図書']
小学館新書,,,,['図書']
福岡県行政資料,,,,['図書']
青春新書,,['18cm'],,['図書']
国調立資料,国立国会図書館調査立法考査局,,,['図書']
DBS cosmos library,,,,['図書']
科学研究費補助金(基盤研究(B))研究成果報告書,,,,['図書']
科学研究費補助金・特定領域研究研究成果報告書,,,,['図書']
科学研究費補助金(基盤研究(B)(2))研究成果報告書,,['26-30cm'],,['図書']
有斐閣新書,,,,['図書']
ふだん記新書,,,,['図書']
研究双書,関西大学経済・政治研究所,,,['図書']
科学研究費補助金(基盤研究(C)一般)研究成果報告書,,,,['図書']
警察政策学会資料,,,,['図書']
海外研究開発レポート,,,,['図書']
UP選書,,['19cm'],,['図書']
みやざき文庫,,,,['図書']
BBC active,,['12cm'],,"['映像資料', 'ビデオテープ']"
国民文庫,,,,['図書']
海外研究開発レポート,,['30cm'],,['図書']
科学研究費補助金(基盤研究(B)(1))研究成果報告,,,,['図書']
新教新書,,,,['図書']
科学研究費補助金(基盤研究(A)(1))研究成果報告書,,,,['図書']
科学研究費補助金(一般研究A)研究成果報告書,,,,['図書']
楽しい調べ学習シリーズ,,,,['図書']
Newtonムック,,,,['図書']
祥伝社新書,,,,['図書']
有斐閣選書,,['19cm'],,['図書']
Tokuma books,,,,['図書']
別冊the Quintessence,クインテッセンス出版,,,['図書']
小学館101新書,,['18cm'],,['図書']
三一新書,,,,['図書']
祥伝社黄金文庫,,,,['図書']
日交研シリーズ,,['26cm'],,['図書']
岩波新書,,['18cm'],,['図書']
有斐閣ブックス,,,,['図書']
生活人新書,,['18cm'],,['図書']
Sekaishiso seminar,,['19-20cm'],,['図書']
角川SSC新書,,['18cm'],,['図書']
新書y,,['18cm'],,['図書']
研究,新住宅普及会,,,['図書']
海外研究開発レポート,,,,['図書']
コミュニティ・ブックス,,,,['図書']
科学研究費補助金(基盤研究(A)(2))研究成果報告書,,,,['図書']
科学研究費補助金(試験研究B)研究成果報告書,,['26cm'],,['図書']
NIRA研究報告書 = NIRA research report,総合研究開発機構,['21-30cm'],,['図書']
科学研究費補助金(総合研究A)研究成果報告書,,,,['図書']
運輸経済研究資料,,,,['図書']
岩波オンデマンドブックス,,,,['図書']
Kosaido books,,,,['図書']
群馬県埋蔵文化財調査事業団調査報告,群馬県教育委員会,,,['図書']
洋泉社mook,,,,['図書']
角川新書,,['18cm'],,['図書']
ワニブックス「Plus」新書,,['18cm'],,['図書']
V.R.F. series,アジア経済研究所,,,['図書']
科学研究費補助金(試験研究B(2))研究成果報告書,,,,['図書']
小学館文庫,,['15-16cm'],,['図書']
カッパ・ブックス,,,,['図書']
プレイブックス,,,,['図書']
日経BPムック,,,,['図書']
知的生きかた文庫,,['15cm'],,['図書']
のびゆく農業 : 世界の農政,農林水産業生産性向上会議,['21cm'],,['図書']
講談社+α文庫,,,,['図書']
YELL books,,,,['図書']
別冊宝島,,,,['図書']
B.B.mook,,,,['図書']
集英社文庫,,['16cm'],,['図書']
PHP文庫,,,,['図書']
